Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Montenegro,MNE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.23674396135265702,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.8518436018957345,0.479,1.702,1.267,1.227,1.185,0.985,1.653,1.444,1.503,1.702,1.474,1.275,2.232,1.823,1.706,1.596,1.865,Europe & Central Asia,Upper middle income,13812.0,47
Morocco,MAR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.57,0.401,0.179,0.486,-0.286,0.433,-0.032,-0.151,0.03,0.108,-0.775,-1.303,0.062,-0.402,-0.221,-0.819,0.041,0.316,0.438,0.548,0.414,0.431,0.724,0.208,0.797,0.19,0.993,0.837,0.665,1.409,0.133,0.246,0.222,1.019,1.174,0.936,1.271,1.483,0.976,0.845,1.745,1.108,1.593,1.029,1.188,1.389,0.93,1.069,1.16,2.02,1.698,1.299,1.233,1.603,1.115,1.84,2.131,0.597,1.466,2.107,1.798,2.303,Middle East & North Africa,Lower middle income,446550.0,85
Myanmar,MMR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.024,-0.112,-0.169,0.036,-0.315,0.377,-0.058,-0.17,0.187,-0.044,-0.414,-0.013,0.263,-0.252,0.183,-0.391,-0.117,0.076,0.516,0.298,0.299,0.08,0.156,0.086,0.19,0.091,0.569,0.408,0.338,0.215,0.509,0.101,0.126,0.494,0.654,0.439,0.272,1.192,0.926,0.223,0.634,0.676,0.653,0.6,0.932,0.855,0.507,0.495,0.918,1.203,0.51,0.915,0.986,0.902,1.245,1.443,1.328,1.064,1.726,1.669,1.656,1.436,East Asia & Pacific,Lower middle income,676578.0,84
Namibia,NAM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.184,-0.051,0.071,-0.081,-0.083,0.106,-0.159,-0.206,0.159,0.427,-0.157,0.033,0.624,-0.71,0.024,-0.539,0.2,-0.066,0.432,0.269,0.1,0.431,0.769,0.853,0.591,0.38,1.1,0.482,-0.289,0.726,0.211,0.658,0.702,0.315,1.004,0.19,0.048,1.284,0.85,-0.041,0.414,0.918,1.293,0.858,0.815,-0.079,0.997,0.672,0.462,1.214,-0.478,-0.128,0.759,0.439,1.215,1.473,0.818,1.11,1.821,0.601,-0.059,0.239,Sub-Saharan Africa,Upper middle income,825615.0,3
Nepal,NPL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.13,-0.448,-0.184,0.177,-0.356,0.247,-0.254,-0.394,0.119,0.128,-0.561,0.024,0.161,0.15,-0.128,-0.035,-0.022,-0.41,0.318,0.121,-0.087,-0.164,-0.423,-0.079,0.324,-0.063,0.349,0.595,0.079,-0.035,0.075,-0.073,-0.177,0.158,0.305,0.208,-0.413,0.313,0.64,0.082,0.448,0.551,0.306,0.351,0.678,0.796,0.727,0.347,1.119,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632,1.132,South Asia,Lower middle income,147181.0,216
New Caledonia,NCL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.248,0.081,-0.211,0.164,-0.806,-0.638,0.032,-0.429,-0.167,0.454,0.128,-0.207,0.799,0.293,0.23,0.155,0.159,0.292,0.208,0.421,0.377,0.194,0.692,0.328,0.509,0.366,0.069,1.05,0.479,0.764,0.35,0.467,0.27,0.228,1.01,1.204,0.549,2.002,1.229,0.759,1.027,1.03,0.788,0.913,0.762,0.683,1.146,1.129,0.909,1.254,1.022,0.87,1.026,1.005,1.215,2.026,1.768,1.384,1.303,1.764,1.689,2.421,East Asia & Pacific,High income,18575.0,16
New Zealand,NZL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.282,0.581,-0.356,-0.455,-0.451,-0.233,-0.184,-0.086,-0.374,0.596,0.684,0.119,0.196,0.363,0.588,-0.51,-0.388,0.387,0.316,0.007,0.427,-0.062,-0.294,0.174,0.398,0.382,0.397,0.488,0.736,0.572,-0.028,-0.716,-0.38,-0.077,0.108,0.244,-0.128,0.981,1.009,0.265,0.572,0.42,0.238,0.033,0.443,0.391,0.237,0.564,0.059,0.598,0.673,0.125,0.999,0.544,0.568,1.214,0.627,1.173,1.118,0.912,0.982,1.319,East Asia & Pacific,High income,270467.0,20
Nicaragua,NIC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.089,-0.329,-0.203,-0.107,0.041,0.185,-0.269,-0.235,0.291,-0.206,-0.293,0.163,0.434,-0.252,0.061,-0.072,0.269,0.205,0.177,0.511,0.255,0.659,0.786,0.04,0.107,0.171,0.422,0.505,0.158,0.35,0.497,0.487,0.317,0.707,0.898,0.077,0.808,1.087,0.169,0.142,0.502,0.79,0.738,0.576,0.841,0.707,0.844,0.567,0.821,0.868,0.695,0.683,1.201,0.802,1.018,1.315,1.025,0.9,1.161,1.526,1.026,0.842,Latin America & Caribbean,Lower middle income,130373.0,59
Niger,NER,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.694,-0.135,0.434,-0.261,-0.007,-0.092,-0.364,0.08,0.766,0.051,-0.092,0.334,0.445,0.008,-0.409,0.288,-0.357,0.192,0.714,0.518,0.04,0.371,0.029,0.607,0.284,0.733,0.655,0.587,-0.384,0.48,0.862,-0.286,0.403,0.205,0.373,1.054,0.688,0.652,0.549,0.677,0.165,0.542,0.778,0.545,1.169,1.179,0.872,0.283,1.313,1.557,0.956,0.588,0.809,0.987,0.832,0.933,0.843,1.065,0.943,0.776,1.425,0.428,Sub-Saharan Africa,Low income,1267000.0,21
Nigeria,NGA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.241,-0.247,0.271,-0.257,-0.037,-0.063,-0.317,-0.035,0.393,0.218,-0.053,0.074,0.791,0.135,-0.278,0.038,0.286,0.004,0.508,0.375,0.155,0.36,0.238,0.794,0.389,0.544,0.823,0.501,-0.412,0.582,0.621,-0.122,0.497,0.424,0.38,0.748,0.646,1.034,0.766,0.526,0.225,0.776,0.776,0.698,1.182,1.204,0.816,0.585,1.301,1.426,0.852,0.526,0.922,1.012,1.187,1.168,1.17,1.093,1.229,1.127,1.559,0.791,Sub-Saharan Africa,Lower middle income,923768.0,246
Norway,NOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.239,-0.776,-0.13,0.373,-0.264,-1.642,0.558,-0.937,-0.173,-0.695,-0.079,0.931,0.918,0.969,1.058,-0.041,-0.552,-0.101,-1.07,-0.313,-0.494,-0.054,0.633,0.532,-0.594,-0.43,-0.83,0.476,1.741,1.517,0.977,1.121,0.697,0.065,0.944,-0.06,0.761,0.383,1.257,1.427,0.613,1.386,1.089,1.3,1.759,1.504,1.702,1.619,1.393,-0.341,1.398,1.063,0.791,2.412,1.781,1.718,1.551,1.485,1.208,2.389,1.499,1.918,Europe & Central Asia,High income,323802.0,15
Oman,OMN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.274,0.338,0.393,-0.478,-0.315,0.18,0.034,-0.614,0.247,0.855,0.08,-0.1,-0.172,-0.137,-0.225,0.221,0.575,0.138,0.138,-0.02,0.223,-0.418,-0.698,-0.706,-0.104,-0.042,0.07,0.201,-0.347,0.061,-0.304,-0.55,0.247,0.126,-0.018,-0.114,-0.227,0.745,0.578,0.554,0.661,0.891,0.838,0.778,0.814,0.838,0.652,0.537,0.728,1.104,0.84,0.754,0.473,0.485,1.213,0.933,1.421,1.121,0.89,0.496,1.329,1.055,Middle East & North Africa,High income,309500.0,15
Pakistan,PAK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.272,-0.242,0.422,-0.379,-0.279,-0.142,-0.319,-0.47,0.247,0.556,0.198,-0.476,0.117,-0.176,-0.584,-0.271,0.352,-0.006,-0.005,0.485,0.31,-0.37,-0.399,-0.206,0.221,-0.288,0.161,0.72,-0.313,0.339,-0.306,-0.413,0.415,0.162,-0.116,-0.152,-0.386,0.436,0.823,0.668,0.762,1.021,0.527,1.006,0.211,1.023,0.65,0.362,1.034,1.29,0.833,0.263,0.778,0.358,0.529,1.233,1.252,1.359,0.566,0.394,1.121,1.389,South Asia,Lower middle income,881912.0,312
Panama,PAN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.216,0.117,-0.215,-0.14,0.259,0.117,-0.334,0.072,0.164,-0.377,-0.401,-0.024,0.23,0.12,0.198,0.481,0.294,0.444,0.919,-0.004,-0.156,0.069,0.566,0.183,0.085,0.394,0.531,0.403,0.459,0.456,0.591,0.3,0.647,0.991,-0.088,0.144,0.551,0.883,0.926,0.729,0.741,0.744,0.654,0.435,0.953,0.978,0.585,0.88,0.999,1.014,1.232,1.171,0.94,1.283,1.43,1.481,1.199,0.728,Latin America & Caribbean,High income,75417.0,60
Papua New Guinea,PNG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.162,0.241,0.009,0.105,-0.493,-0.07,-0.22,-0.037,0.123,0.201,0.005,-0.344,0.153,0.022,0.016,-0.296,-0.086,0.212,0.117,0.207,0.293,-0.091,0.367,0.307,0.222,0.341,0.38,0.666,0.424,0.413,0.281,0.542,0.364,0.356,0.654,0.551,0.079,1.012,0.311,0.377,0.496,0.671,0.519,0.234,0.658,0.252,0.438,0.342,0.317,1.007,0.388,0.295,0.8,0.393,0.16,1.129,0.79,0.662,0.695,1.082,1.18,1.221,East Asia & Pacific,Lower middle income,462840.0,23
Paraguay,PRY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.563,-0.663,0.903,-0.238,-0.079,-0.088,0.481,-0.041,0.384,0.261,-0.385,0.42,0.094,-0.265,-0.121,-0.435,0.7,0.658,0.096,0.187,0.387,0.356,-0.312,0.482,0.37,0.835,0.173,-0.073,-0.109,0.016,0.648,-0.39,0.208,0.865,0.542,0.095,0.869,0.176,0.004,0.101,0.609,1.074,0.721,0.394,0.511,0.915,0.252,0.259,0.897,0.326,0.601,0.825,0.327,1.119,1.493,0.25,1.15,0.539,1.276,1.369,0.696,0.649,Latin America & Caribbean,Upper middle income,406752.0,17
Peru,PER,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.001,-0.116,0.085,-0.203,0.2,0.095,-0.25,-0.312,0.509,0.002,-0.454,0.19,0.128,-0.281,-0.28,-0.111,0.282,0.075,0.241,0.361,0.059,0.183,1.303,0.228,0.115,0.154,0.884,0.511,0.056,0.359,0.501,0.816,0.494,0.511,0.798,0.158,0.855,1.29,0.232,0.325,0.49,0.754,0.769,0.682,0.813,0.809,0.555,0.604,0.869,1.063,0.791,0.808,0.647,0.883,1.256,1.454,0.978,0.734,1.048,1.778,1.287,0.878,Latin America & Caribbean,Upper middle income,1285216.0,27
Philippines,PHL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.143,-0.113,-0.357,-0.04,-0.29,0.165,-0.148,-0.115,0.132,0.203,-0.324,0.026,0.319,-0.05,0.083,-0.141,0.288,0.181,0.355,0.136,0.228,0.154,0.602,0.148,0.345,0.266,0.563,0.799,0.281,0.412,0.359,0.379,0.385,0.501,0.528,0.427,0.489,1.322,0.561,0.673,0.825,0.733,0.795,0.687,0.782,0.831,0.875,0.574,0.718,1.065,0.62,0.912,1.057,0.96,1.155,1.603,1.3,1.329,1.407,1.56,1.431,1.405,East Asia & Pacific,Lower middle income,342353.0,394
Portugal,PRT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.815,0.524,-0.086,0.519,-0.23,0.28,-0.041,0.033,-0.342,0.071,-0.87,-0.906,-0.063,-0.439,-0.09,-0.357,-0.272,0.167,0.169,0.282,0.546,0.56,0.286,-0.12,0.528,0.094,0.752,0.637,1.117,1.401,0.44,0.434,-0.199,0.684,1.663,0.756,1.601,1.212,0.634,0.665,1.165,0.681,1.458,1.062,1.032,1.561,0.775,0.649,1.423,1.122,1.615,0.797,0.941,1.349,1.405,1.682,2.109,0.906,1.291,1.99,1.251,2.318,Europe & Central Asia,High income,92090.0,112
Puerto Rico,PRI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.011,-0.098,0.129,0.106,-0.384,-0.044,-0.241,-0.252,0.383,0.021,-0.325,-0.071,0.255,-0.367,-0.177,-0.391,0.202,0.306,0.092,0.582,0.568,0.155,0.543,0.146,-0.049,0.105,0.597,0.528,0.081,0.522,0.411,0.302,0.512,0.71,0.73,0.444,0.654,1.243,0.672,0.273,0.743,0.893,1.06,0.567,0.865,0.821,1.071,0.52,0.651,1.177,0.531,0.762,0.774,0.869,1.093,1.203,0.967,0.848,0.95,1.349,0.922,0.848,Latin America & Caribbean,High income,8870.0,368
Qatar,QAT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.542,0.518,0.449,-0.4,0.386,0.439,-0.252,-0.536,0.668,0.267,-0.152,-0.731,-0.255,-0.336,-0.281,-0.556,0.274,0.149,0.765,0.389,0.417,-0.13,-0.826,0.039,0.357,0.51,0.385,0.494,-0.069,0.406,-0.151,-0.519,0.031,0.666,0.064,0.496,0.066,1.174,1.735,0.944,0.97,1.436,1.179,1.228,0.842,1.652,0.989,1.162,1.114,2.001,1.444,1.376,1.212,1.541,1.971,1.515,1.893,2.004,1.84,1.734,2.165,1.855,Middle East & North Africa,High income,11586.0,236
Romania,ROU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.075,0.169,-0.301,-0.791,-0.674,1.053,0.284,0.432,-0.589,-0.053,-0.021,0.382,-0.22,-0.097,0.806,-0.806,0.536,-0.828,0.156,-0.639,0.043,-0.058,0.837,-0.129,-1.193,0.431,-0.724,0.092,0.752,1.1,0.033,0.364,-0.428,1.72,0.409,-0.424,-0.422,0.785,0.62,1.338,1.537,1.22,0.145,0.556,0.298,0.514,2.126,1.335,1.617,1.167,0.497,1.828,1.37,1.552,1.799,1.876,1.153,2.266,2.241,2.256,1.447,1.949,Europe & Central Asia,High income,238391.0,86
Rwanda,RWA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.019,-0.291,0.001,-0.113,-0.301,0.002,-0.261,-0.095,0.166,0.192,-0.251,0.122,0.559,0.073,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.437,0.776,0.0798663101604278,0.07183422459893048,0.665,0.458,0.268,-0.022,0.279,-0.127,0.004,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.545,0.7431105769230769,0.6695096153846153,0.258,0.664,0.909,0.704,0.8518436018957345,0.8760093457943926,1.25,0.8078104265402842,0.910345971563981,1.0984813084112148,0.8209305555555554,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849,Sub-Saharan Africa,Low income,26338.0,571
Samoa,WSM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.067,-0.012,0.079,0.085,-0.306,0.073,-0.297,-0.224,0.216,0.22,-0.414,-0.084,0.196,-0.426,-0.239,-0.364,-0.007,-0.027,0.129,0.177,-0.023,0.172,0.246,0.048,0.046,0.166,0.099,0.399,-0.052,0.377,0.471,0.3,-0.169,0.262,0.665,0.703,0.5434514563106796,0.9711483253588516,0.163,0.537,0.815,1.063,0.633,0.105,0.735,0.325,0.942,0.578,0.910345971563981,1.246,0.719,0.834,1.167,1.071,0.91,1.44,1.336,1.09,1.44,1.332,1.169,1.156,East Asia & Pacific,Lower middle income,2842.0,81
Saudi Arabia,SAU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.157,0.688,0.488,-0.47,0.16,0.65,-0.69,-0.391,0.529,0.363,-0.428,-0.559,-0.234,-0.241,-0.316,-0.405,0.139,-0.22,0.873,0.047,0.077,-0.397,-0.847,-0.309,-0.019,0.19,0.532,0.452,-0.112,0.095,0.376,-0.985,-0.186,0.655,0.193,0.58,0.01,1.035,1.489,0.787,0.884,1.092,0.981,0.975,0.542,1.202,0.706,0.906,1.028,2.18,0.893,1.241,1.204,1.249,1.867,1.533,1.78,1.887,1.69,1.488,2.203,1.745,Middle East & North Africa,High income,2149690.0,17
Senegal,SEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.185,-0.023,0.082,-0.212,-0.449,-0.079,-0.433,-0.52,0.763,0.557,-0.036,0.38,0.713,-0.432,-0.235,-0.063,0.552,0.506,0.809,0.943,0.767,0.339,1.25,0.661,0.526,0.483,1.022,0.874,0.575,1.193,0.8,0.875,1.097,0.634,0.938,1.219,1.37,1.574,0.581,0.918,1.168,1.425,1.15,1.157,1.366,1.37,1.202,1.294,0.703,1.432,1.187,0.834,1.18,1.105,1.212,1.542,1.744,0.964,1.396,1.665,1.782,1.405,Sub-Saharan Africa,Lower middle income,196722.0,92
Seychelles,SYC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.317,0.088,-0.077,-0.164,-0.531,0.07,0.032,-0.148,0.209,0.32,-0.435,-0.372,0.181,-0.471,-0.274,-0.205,0.236,0.355,0.226,0.258,0.17,0.433,0.503,-0.294,-0.114,0.25,0.505,0.418,-0.112,0.239,0.439,0.179,0.23,0.507,0.432,0.114,0.598,0.968,0.295,0.406,0.734,0.518,0.719,0.304,0.513,0.537,0.813,0.5,0.82,1.019,0.927,0.922,0.749,0.863,1.169,1.1,1.184,0.917,1.377,1.434,1.032,0.872,Sub-Saharan Africa,High income,452.0,234
Sierra Leone,SLE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.101,-0.084,0.176,-0.156,-0.281,-0.001,-0.124,-0.058,0.278,0.353,-0.134,0.162,0.481,-0.018,-0.107,-0.195,0.196,0.257,0.572,0.431,0.28,0.352,0.571,0.377,0.254,-0.12,0.722,0.626,0.157,0.5,0.618,0.241,0.556,0.465,0.477,0.599,0.756,1.037,0.59,0.6695096153846153,0.848,1.005,0.814,1.034,1.194,1.109,0.795,1.243,0.9,1.405,1.134,0.533,1.058,1.037,1.16,1.086,1.728,1.234,1.561,1.526,1.565,1.328,Sub-Saharan Africa,Low income,71740.0,122
Singapore,SGP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.075,-0.466,-0.007,-0.091,-0.37,0.344,0.124,-0.181,-0.0843089005235602,0.086,-0.084,0.004,0.274,0.16525543478260868,0.206,0.174,0.285,0.516,0.195,0.343984126984127,0.0798663101604278,0.07183422459893048,-0.015,0.416,0.323,0.25577248677248676,0.554813829787234,0.36763101604278076,0.23674396135265702,0.289,0.669,0.544,0.328,0.964,0.9711483253588516,0.353,0.6695096153846153,0.850231884057971,0.776,0.844,0.7772028301886792,0.8518436018957345,0.8760093457943926,1.02175,0.8078104265402842,0.910345971563981,1.059,0.74,0.826,1.15,1.331,1.537,2.038,1.587,1.37,1.878,1.585,1.3,1.311,East Asia & Pacific,High income,710.0,8377
